,Ring(34),"Erdos_Renyi(34,78)",Star(34),Karate
0,"[0.07428689002990722, 0.0013991832733154298, 2.8085708618164062e-05]","[0.07642970085144044, 0.001612234115600586, 2.6655197143554687e-05]","[0.15806779861450196, 0.0024538516998291017, 2.8085708618164062e-05]","[0.08476438522338867, 0.0015491962432861329, 2.5606155395507814e-05]"
1,[0.00010881423950195312],[0.00010509490966796875],[0.00011963844299316407],[0.0001247882843017578]
2,[0.00018310546875],[0.00018134117126464844],[0.0007793903350830078],[0.00018157958984375]
3,[0.0002673149108886719],[0.00026383399963378904],[0.0006219387054443359],[0.00026154518127441406]
4,[0.0003406524658203125],[0.00034575462341308595],[0.0008247852325439453],[0.00034427642822265625]
5,[0.00042204856872558595],[0.00042333602905273435],[0.0004859447479248047],[0.0004256248474121094]
6,[0.0005031585693359375],[0.0005082130432128906],[0.001999235153198242],[0.0005084514617919922]
7,[0.0005856037139892578],[0.0005884170532226562],[0.001425933837890625],[0.0005871295928955078]
8,[0.000666952133178711],[0.000681304931640625],[0.0009714126586914063],[0.0006628036499023438]
9,[0.0007543563842773438],[0.0007455825805664062],[0.0018618583679199218],[0.0007486820220947265]
10,[0.0008272647857666016],[0.0008293628692626953],[0.0018932819366455078],[0.0008266448974609375]
11,[0.0009150981903076171],[0.0009685039520263671],[0.002034568786621094],[0.0009063720703125]
12,[0.0009904861450195312],[0.0009725093841552734],[0.0019624710083007814],[0.0009945869445800782]
13,[0.0010876178741455079],[0.0010488510131835937],[0.0020572662353515623],[0.001100778579711914]
14,[0.0012202262878417969],[0.0011461257934570312],[0.0033727645874023437],[0.0011347293853759765]
15,[0.0035602092742919923],[0.0012336254119873046],[0.0024277210235595704],[0.0012133121490478516]
16,[0.009909868240356445],[0.0013068199157714843],[0.0015100479125976563],[0.0012902259826660157]
17,[0.007823419570922852],[0.001455068588256836],[0.0016010284423828125],[0.0013844490051269532]
18,[0.0020455360412597657],[0.0014608383178710937],[0.0016966819763183593],[0.0014519214630126954]
19,[0.0017460346221923827],[0.0015241146087646485],[0.0017871379852294922],[0.0015232086181640625]
