,Ring(34),"Erdos_Renyi(34,78)",Star(34),Karate
0,"[40.6005849709838, 40.6005849709838]","[2.2355402744240327, 2.2355402744240362]","[1.2958438228398226, 1.2958438228398332]","[0.9179229285151231, 0.9179229285151287]"
1,"[67.66764161830633, 67.66764161830633]","[7.494942920042677, 7.494942920042689]","[8.781543576137826, 8.7815435761379]","[3.845613953147569, 3.845613953147592]"
2,"[85.71234604985467, 85.71234604985467]","[17.425448139063118, 17.425448139063146]","[13.629425321130823, 13.629425321130933]","[9.70743756682309, 9.707437566823149]"
3,"[94.73469826562886, 94.73469826562886]","[31.786833401996805, 31.786833401996855]","[34.838907955475165, 34.838907955475456]","[20.225304456058876, 20.225304456059]"
4,"[98.34363915193853, 98.34363915193853]","[48.33041973280686, 48.330419732806945]","[43.08030692196326, 43.08030692196361]","[33.723361119873765, 33.72336111987397]"
5,"[99.54661944737508, 99.54661944737508]","[64.27848297384674, 64.27848297384685]","[67.11772057422019, 67.11772057422074]","[49.30859201214041, 49.3085920121407]"
6,"[99.89032810321412, 99.89032810321412]","[77.43752762966315, 77.43752762966328]","[73.7893292613772, 73.78932926137782]","[63.98044166222786, 63.98044166222825]"
7,"[99.97625526717387, 99.97625526717387]","[86.9494211621778, 86.94942116217794]","[88.38347326453318, 88.38347326453392]","[76.48035347717888, 76.48035347717934]"
8,"[99.99535019249825, 99.99535019249825]","[93.05792692545413, 93.05792692545428]","[91.53395514457956, 91.53395514458032]","[85.73791428375816, 85.73791428375867]"
9,"[99.99916917756312, 99.99916917756312]","[96.58992782280514, 96.5899278228053]","[97.04729843466072, 97.04729843466153]","[92.00135339843001, 92.00135339843055]"
10,"[99.99986353848401, 99.99986353848401]","[98.44613316039059, 98.44613316039074]","[98.0210837430387, 98.02108374303951]","[95.81576364376639, 95.81576364376697]"
11,"[99.99997926530416, 99.99997926530416]","[99.34048533936112, 99.3404853393613]","[99.44118731775654, 99.44118731775737]","[97.9593094678925, 97.95930946789309]"
12,"[99.99999706943032, 99.99999706943032]","[99.73821889285551, 99.73821889285568]","[99.65342257727482, 99.65342257727563]","[99.0663365934022, 99.0663365934028]"
13,"[99.99999961287693, 99.99999961287693]","[99.90247355338505, 99.90247355338522]","[99.9187166516727, 99.9187166516735]","[99.59878720890393, 99.59878720890451]"
14,"[99.99999995200314, 99.99999995200314]","[99.96578235289908, 99.96578235289924]","[99.95307855083277, 99.9530785508336]","[99.83733953894503, 99.83733953894563]"
15,"[99.9999999943939, 99.9999999943939]","[99.98865902547827, 99.98865902547843]","[99.99066187803916, 99.99066187803997]","[99.93766908468046, 99.93766908468106]"
16,"[99.99999999938107, 99.99999999938107]","[99.99643913517453, 99.99643913517468]","[99.99495711543416, 99.99495711543499]","[99.97734849508538, 99.97734849508598]"
17,"[99.9999999999352, 99.9999999999352]","[99.9989380980944, 99.99893809809457]","[99.99913304067928, 99.9991330406801]","[99.9921781641638, 99.9921781641644]"
18,"[99.99999999999353, 99.99999999999353]","[99.99969851138594, 99.99969851138611]","[99.99956005258406, 99.99956005258488]","[99.99742681317937, 99.99742681317997]"
19,"[99.99999999999936, 99.99999999999936]","[99.99991833043214, 99.99991833043231]","[99.99993368800074, 99.99993368800156]","[99.99919203797992, 99.99919203798052]"
